Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
1371366153,"Jan 23, 2018, 2:57:56 PM",subiendo everest,Run,,2658,7.30,,,false,,,activities/1371366153.gpx,72.57479858398438,,2658.0,2484.0,7308.89990234375,4.800000190734863,,146.59100341796875,179.79100036621094,7.699999809265137,134.5,47.599998474121094,-0.45424070954322815,,,,,,,,,701.2601928710938,,,,,,,,,,,,,,,,0.0,,,7864.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.10000610351562,,,,,,,,,,,,media/3a1a5cc7-336b-40b9-9fb5-a4f4594f2ef6.jpg|media/9bd22a18-7dba-4c3a-a209-d93eca4ed95c.jpg
1376616675,"Jan 26, 2018, 8:07:23 PM","mierda, ta quente",Run,,2177,6.90,,,false,,,activities/1376616675.gpx,72.57479858398438,,2177.0,1914.0,6903.7001953125,6.099999904632568,,105.14099884033203,,0.10000000149011612,29.0,34.5,-0.007242490071803331,,,,,,,,,659.0108642578125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1387957859,"Feb 2, 2018, 2:58:50 PM",meditación,Run,,4747,16.06,,,false,,,activities/1387957859.gpx,72.57479858398438,,4747.0,4547.0,16067.7001953125,11.5,,64.83133697509766,81.13130187988281,-0.4000000059604645,50.0,16.799999237060547,-0.1014457568526268,,,,,,,,,1444.9569091796875,,,,,,,,,,,,,,,,0.0,,,16204.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9000015258789,,,,,,,,,,,,""
1394432714,"Feb 6, 2018, 2:55:43 PM",bernal,Run,,3183,7.98,,,false,,,activities/1394432714.gpx,72.57479858398438,,3183.0,2641.0,7985.60009765625,6.400000095367432,,157.87490844726562,174.6750030517578,11.100000381469727,134.5,45.70000076293945,-0.21037867665290833,,,,,,,,,766.6226806640625,,,,,,,,,,,,,,,,0.0,,,8597.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.39999389648438,,,,,,,,,,,,media/94812e96-80c9-4e96-b98e-75c538d17996.jpg
1397670293,"Feb 8, 2018, 3:24:50 PM",Al parque,Run,,1870,3.50,,,false,,,activities/1397670293.gpx,72.57479858398438,,1870.0,863.0,3506.0,6.900000095367432,,36.57912063598633,61.0791015625,6.800000190734863,50.0,13.800000190734863,-0.6988020539283752,,,,,,,,,316.5666809082031,,,,,,,,,,,,,,,,0.0,,,3550.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1442875674,"Mar 8, 2018, 7:33:38 PM",Reset a zero...,Run,,1621,5.23,,,false,,,activities/1442875674.gpx,72.57479858398438,,1621.0,1617.0,5231.2001953125,5.300000190734863,,107.78323364257812,,-10.800000190734863,33.0,39.900001525878906,-0.1605750173330307,,,,,,,,,505.0389404296875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1460924349,"Mar 19, 2018, 2:50:09 PM",gallo pinto,Run,,1188,4.16,,,false,,,activities/1460924349.gpx,72.57479858398438,,1188.0,1188.0,4159.39990234375,6.400000095367432,,47.16780090332031,63.06779861450195,6.599999904632568,49.79999923706055,27.899999618530273,-0.38226667046546936,,,,,,,,,378.8081970214844,,,,,,,,,,,,,,,,0.0,,,4248.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1464151380,"Mar 21, 2018, 2:26:10 PM",imagínate si no corria,Run,,1673,5.64,,,false,,,activities/1464151380.gpx,72.57479858398438,,1673.0,1633.0,5641.7998046875,7.800000190734863,,47.736698150634766,64.53669738769531,2.5,50.5,17.799999237060547,-0.29777729511260986,,,,,,,,,510.2911376953125,,,,,,,,,,,,,,,,0.0,,,5722.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1473035452,"Mar 26, 2018, 2:33:58 PM",💆🏽‍♂️,Run,,2365,8.04,,,false,,,activities/1473035452.gpx,72.57479858398438,,2365.0,2356.0,8047.7001953125,6.199999809265137,,48.58883285522461,65.18879699707031,1.600000023841858,50.400001525878906,19.0,-0.20627011358737946,,,,,,,,,725.4701538085938,,,,,,,,,,,,,,,,0.0,,,8135.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1476446129,"Mar 28, 2018, 2:32:27 PM",Llegó el verano,Run,,2774,9.03,,,false,,,activities/1476446129.gpx,72.57479858398438,,2774.0,2579.0,9036.900390625,12.100000381469727,,160.52972412109375,177.42999267578125,6.599999904632568,134.5,27.799999237060547,-0.18701103329658508,,,,,,,,,854.7238159179688,,,,,,,,,,,,,,,,0.0,,,9585.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.6999969482422,,,,,,,,,,,,media/18de14fa-e79c-425c-928a-47e4423ff0d0.jpg
1486500059,"Apr 3, 2018, 2:04:57 AM",el rescate,Run,,2856,9.77,,,false,,,activities/1486500059.gpx,72.57479858398438,,2856.0,2737.0,9773.5,11.399999618530273,,53.0749626159668,69.4749984741211,0.0,50.0,21.799999237060547,-0.1678006798028946,,,,,,,,,880.8421020507812,,,,,,,,,,,,,,,,0.0,,,9878.099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,,,,,,,,,""
1494746441,"Apr 7, 2018, 3:16:37 PM",Bonk,Run,,2695,8.51,,,false,,,activities/1494746441.gpx,72.57479858398438,,2695.0,2608.0,8516.599609375,4.699999809265137,,102.40660858154297,,748.5,833.7999877929688,15.600000381469727,0.36986589431762695,,,,,,,,,777.8760986328125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1523464624,"Apr 21, 2018, 8:56:15 PM",Bike,Ride,,13676,44.99,,,false,,,activities/1523464624.gpx,72.57479858398438,,13676.0,7918.0,44990.8984375,14.800000190734863,,409.5091247558594,409.1090087890625,0.0,88.0,23.799999237060547,0.0008890687022358179,,,,,,,,106.64140319824219,941.487548828125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.900001525878906,,,,,,,,,,,,""
1560097142,"May 9, 2018, 2:03:45 PM",Back at it,Run,,1567,5.48,,,false,,,activities/1560097142.gpx,72.57479858398438,,1567.0,1567.0,5486.5,6.0,,47.09638977050781,63.49639892578125,3.200000047683716,50.099998474121094,18.799999237060547,-0.2989155054092407,,,,,,,,,495.99700927734375,,,,,,,,,,,,,,,,0.0,,,5562.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1567760648,"May 12, 2018, 4:14:03 PM",siguiendo una pilla,Ride,"",6585,20.02,,,false,,,activities/1567760648.json,72.57479858398438,,6585.0,4525.0,20026.80078125,11.399999618530273,,215.03831481933594,,250.5,304.6000061035156,16.899999618530273,0.0054926397278904915,,,,,,,,83.15225982666016,419.5345458984375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1570280218,"May 13, 2018, 3:25:31 PM",Lunch Ride,Ride,,11158,24.32,,,false,,,activities/1570280218.json,72.57479858398438,,11158.0,5566.0,24322.900390625,10.699999809265137,,324.1781311035156,,266.0,331.3999938964844,31.200000762939453,0.010278379544615746,,,,,,,,81.9243392944336,508.4295654296875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1573626112,"May 15, 2018, 2:11:50 PM",no hay yuca,Run,,1839,6.33,,,false,,,activities/1573626112.gpx,72.57479858398438,,1839.0,1811.0,6334.7998046875,11.600000381469727,,46.45952224731445,64.05950164794922,2.799999952316284,50.79999923706055,16.799999237060547,-0.2778303921222687,,,,,,,,,572.0332641601562,,,,,,,,,,,,,,,,0.0,,,6415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1608100289,"May 31, 2018, 2:43:16 PM",🤙,Run,,1806,6.37,,,false,,,activities/1608100289.gpx,72.57479858398438,,1806.0,1724.0,6371.0,10.100000381469727,,48.376060485839844,64.67610168457031,2.200000047683716,49.900001525878906,17.0,-0.2558467984199524,,,,,,,,,575.1007690429688,,,,,,,,,,,,,,,,0.0,,,6449.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1623176277,"Jun 7, 2018, 2:39:37 PM",:/,Run,,1848,5.31,,,false,,,activities/1623176277.gpx,72.57479858398438,,1848.0,1526.0,5317.89990234375,9.0,,54.25102615356445,62.250999450683594,4.0,50.20000076293945,17.799999237060547,-0.15043532848358154,,,,,,,,,485.5550537109375,,,,,,,,,,,,,,,,0.0,,,5445.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1627719832,"Jun 9, 2018, 3:19:07 PM",bici,Ride,,8442,49.49,,,false,,,activities/1627719832.gpx,72.57479858398438,,8442.0,8257.0,49496.5,10.399999618530273,,196.04977416992188,,260.0,308.29998779296875,15.199999809265137,-0.0022223794367164373,,,,,,,,93.06647491455078,856.8218383789062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1669874654,"Jun 29, 2018, 3:35:14 PM",W.A.O.,Run,,1006,3.47,,,false,,,activities/1669874654.gpx,72.57479858398438,,1006.0,1001.0,3469.39990234375,5.099999904632568,,39.93898391723633,,400.79998779296875,419.5,27.799999237060547,-0.5044099688529968,,,,,,,,,326.8035583496094,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/60cc2c8f-736c-4243-8e7f-942990711744.jpg
1723658584,"Jul 24, 2018, 3:39:11 AM",🧘🏽‍♂️,Run,,2146,3.77,,,false,,,activities/1723658584.gpx,72.57479858398438,,2146.0,1115.0,3770.199951171875,10.300000190734863,,113.93077087402344,145.43099975585938,14.699999809265137,132.0,5.900000095367432,-0.8354994654655457,,,,,,,,,325.0557861328125,,,,,,,,,,,,,,,,0.0,,,3645.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.8000030517578,,,,,,,,,,,,media/b6b158d7-6e8f-48c6-a6c5-fe7b16a62f94.jpg
1729181095,"Jul 26, 2018, 2:29:25 PM",💭,Run,,1740,5.99,,,false,,,activities/1729181095.gpx,66.80000305175781,,1740.0,1703.0,5991.2998046875,7.599999904632568,,47.466453552246094,64.06649780273438,2.5,50.099998474121094,17.5,-0.2770684063434601,,,,,,,,,498.3479919433594,,,,,,,,,,,,,,,,0.0,,,6071.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1734416861,"Jul 28, 2018, 5:46:54 PM",Paradise,Ride,,24197,91.61,,,false,,,activities/1734416861.gpx,66.55000305175781,,24197.0,16402.0,91611.796875,16.600000381469727,,745.96044921875,745.760009765625,0.0,104.0999984741211,21.299999237060547,0.0002183124888688326,,,,,,,,105.67503356933594,1932.6087646484375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.89999389648438,,,,,,,,,,,,""
